key,value,notes
club_power_per_point,0.005,velocity multiplier per Club Power point (120 pts = +60%)
club_accuracy_per_point,0.0042,aim cone reduction per Club Accuracy point
club_lie_resistance_per_point,0.0042,lie penalty reduction per Club Lie Resistance point
ball_power_per_point,0.01,velocity multiplier per Ball Power point (10 pts = +10%)
ball_rebound_per_point,0.01,restitution multiplier per Ball Rebound point
ball_wind_cut_per_point,0.01,wind drag reduction per Ball Wind Cut point
ball_roll_per_point,0.02,rolling resistance reduction per Ball Roll point (more = farther roll)
ball_spin_per_point,0.01,spin magnitude multiplier per Ball Spin point
char_strength_per_point,0.00625,overpower forgiveness per Character Strength point
char_club_control_per_point,0.0035,aim cone reduction per Character Club Control point
putter_control_per_point,0.0042,off-center forgiveness per Putter Control point
putter_accuracy_per_point,0.0075,gravity well radius per Putter Accuracy point (assist; informational)
putter_weight_per_point,0.125,aim cycles per Putter Weight point (UI; informational)
stamina_floor_fraction,1.0,neutralized by Phase 2 Option C — degradation now applied at LiveStatProviderHost seam via StaminaModel.EffectiveStat; resolver passes already-degraded stat through unchanged
