id,name,brand,rarity,power,rebound,windResistance,roll,spin,thumbnailSprite,fullSprite,info,thumbnailUrl,fullUrl,isDefault
ball_golfin,Golfin,Golfin,Common,0,0,0,0,0,Golfin,Golfin,The standard Golfin ball. Perfectly balanced with no stat bonuses or penalties—reliable in any situation.,,,true
ball_par_perfect,Par Perfect,PAR PERFECT,Common,0,3,3,-3,-3,S_Controls_Ball_PARPERFECT,ParPerfect,"PAR PERFECT builds the metronome of golf balls—predictable above everything else. A steady bounce and a little wind resistance, but it checks up short and won't spin much for you either.",,,false
ball_fyloe_soft,Fyloe Soft,FYLOE,Common,-3,-2,0,-3,8,S_Controls_Ball_FYLOESOFT,FyloeSoft,"FYLOE's Soft line is all about feel—a soft cover that grabs the face and spins hard. It checks up fast on the green, but you give away distance and a little liveliness off the bounce to get it.",,,false
ball_ace_attire,Ace Attire,ACE ATTIRE,Common,6,2,-4,2,-6,S_Controls_Ball_ACEATTIRE,AceAttire,"ACE ATTIRE is a fashion house first and a ball maker second—this one is all swagger. Long and lively with plenty of run-out, but it gets shoved around in the wind and barely spins at all.",,,false
ball_birdie_v1,Birdie V1,BIRDIE,Common,3,0,3,0,-6,S_Controls_Ball_BIRDIEV1,BirdieV1,"BIRDIE's V1 is the entry-level distance ball found in every pro-shop basket. It goes a little farther and holds its line in a breeze, but there is almost no feel—don't expect it to check or shape.",,,false
ball_golfin_mk2,Golfin MK2,Golfin,Uncommon,4,3,0,2,-6,S_Controls_Ball_GOLFINMK2,GolfinMK2,"Golfin's MK2 is the house ball's distance evolution. More power, a livelier bounce and a touch more roll than the standard Golfin—paid for almost entirely in spin.",,,false
ball_gf,G&F,G&F,Uncommon,2,4,4,-3,-4,S_Controls_Ball_GF,GF,"G&F has been making tour balls since before most of these brands existed. Rock-solid off the bounce and unbothered by wind, with modest power; it settles where it lands rather than running out, and it isn't a big spinner.",,,false
ball_tifto,Tifto,TIFTO,Uncommon,1,6,0,3,-7,S_Controls_Ball_TIFTO,Tifto,"TIFTO makes golf balls the way it makes tools—hard, functional, no frills. This one is lively off the bounce and runs a long way after landing, but it will not stop for anybody and has almost no spin.",,,false
ball_fairloft,Fairloft,FAIRLOFT,Uncommon,-2,-3,5,-4,7,S_Controls_Ball_FAIRLOFT,Fairloft,"FAIRLOFT's Japanese engineers chase a high, soft ball flight. It cuts through the wind, lands quietly and checks hard with plenty of spin—at the cost of a little power and a dead bounce.",,,false
ball_fyloe_aim,Fyloe Aim,FYLOE,Uncommon,0,1,7,0,-5,S_Controls_Ball_FYLOEAIM,FyloeAim,FYLOE's Aim is a point-and-shoot ball: it holds its line through the wind better than almost anything at this price. The flip side is that it refuses to curve—spin is not on the menu.,,,false
ball_clover_pro,Clover Pro,CLOVER PRO,Uncommon,2,2,2,2,-5,S_Controls_Ball_CLOVERPRO,CloverPro,"CLOVER PRO is the pro-shop staple with the lucky four-leaf mark. Mildly better than the default at power, bounce, wind and roll, and mildly worse at the one thing that makes a ball talk: spin.",,,false
ball_golfinix,GolfinIX,GOLFINIX,Rare,2,-2,3,-6,8,S_Controls_Ball_GOLFINIX,GolfinIX,"GolfinIX is Golfin's boutique touch ball, built for scoring rather than showing off. It sits down where it lands and spins hard, with a little help in the wind; you give up the roll and a touch of bounce to get it.",,,false
ball_klyro,Klyro,KLYRO,Rare,1,2,7,-2,-3,S_Controls_Ball_KLYRO,Klyro,KLYRO makes technical gear for people who read wind charts for fun. This is the controlled wind ball—it holds its line in a gale with a steady bounce and checks up slightly; the price is a little spin.,,,false
ball_royal_swing,Royal Swing,ROYAL SWING,Rare,8,3,0,2,-8,S_Controls_Ball_ROYAL,RoyalSwing,"ROYAL SWING sells aggression, and this ball is the loudest thing in its catalogue. It hits hard, bounces lively and runs out after landing—but it will not shape a shot or stop on a green.",,,false
ball_fairway_threads,Fairway THREADS,Fairway THREADS,Rare,4,4,2,2,-7,S_Controls_Ball_FAIRWAY,FairwayThreads,"Fairway THREADS is a lifestyle label that happens to make a very good ball. Long, lively and a little steadier in wind, with a touch more run—every stat but bite, because it barely spins.",,,false
ball_putt_ace,Putt Ace,Putt Ace,Rare,10,-6,0,5,-4,PuttAce,PuttAce,"Designed by PUTT ACE, a name synonymous with short-game mastery, this ball delivers exceptional spin, subtle roll, and balanced power—tailored for precision play in any condition.",,,false
ball_mireo,MireO,MireO,Mythic,-3,-2,4,-2,10,S_Controls_Ball_MIREO,MireO,"MireO is the craftsman's brand, and this is its masterpiece spin ball. Maximum spin, a quiet landing and a bit of help in the wind—bought with distance, a softer bounce and a short roll.",,,false
ball_cirq,Cirq,CIRQ,Mythic,6,7,-4,3,-5,S_Controls_Ball_CIRQ,Cirq,"CIRQ builds balls for showmen—explosive off the face and just as explosive off the bounce. It runs out hard, gets genuinely wild once the wind picks up, and offers little spin control.",,,false
ball_soralis,Soralis,SORALIS,Mythic,3,1,10,0,-7,S_Controls_Ball_SORALIS,Soralis,"SORALIS is the eclipse brand, and this is the wind ball. It goes where you aimed no matter what the flag is doing, with a little extra power—but it cannot be shaped at all.",,,false
ball_shimmer_g,Shimmer G,SHIMMER G,Legendary,7,5,5,2,-10,S_Controls_Ball_SHIMMERG,ShimmerG,"Shimmer G is the trophy ball—an oil-slick finish that exists to be noticed. Long, lively, steady in wind and it keeps rolling; it does everything a ball can do except stop or curve.",,,false
