# Layer 2 — designable. Calibrated against putt feel and Stimpmeter targets.
# These are NOT real physics constants — they're putt-specific resistance values.
# Re-tuned in controls_c_fix (2026-05-05).
# cup_capture_speed added in cup_speed_gated_capture (2026-05-18).
# See Docs/Physics/CALIBRATION_METHODOLOGY.md.
#
# cup_capture_speed_mps: speed gate for cup capture (USGA lip-out rule).
# A putt faster than ~5 ft/s (1.524 m/s) at the cup rim lips out rather than drops.
# Source: Penner, A.R. (2002) "The physics of putting." Canadian Journal of Physics 80(2): 83-96 (see lip-out analysis).
# Architect-locked 2026-05-14 at 1.5 m/s. Tunable here for future data-driven adjustment.
# NOTE: cup_capture_speed row must appear AFTER the header line so the loader reads it as data.
surface,rolling_resistance,stop_speed_mps,notes
Green,0.50,0.04,Stimp ~12 PGA Tour fast; v0/k = 1.829/0.50 = 3.66m matches USGA Stimpmeter (Kolkowitz 2007, Wikipedia Stimpmeter)
GreenCollar,0.40,0.05,Slightly slower than green; v0/k = 4.57m, between Stimp ~10 (medium) and ~12 (fast)
cup_capture_speed,1.5
# ── In-sim cup (cup_capture_and_lipout, 2026-08-05) ──────────────────────────────
# cup_depth_m: REAL-WORLD CONSTANT. Regulation minimum cup depth is 4 in (0.1016 m).
# Source: USGA/R&A Rules of Golf, Equipment Rules (hole 108 mm diameter, >=101.6 mm deep).
# Used to synthesize the fall-in drop when the ball is captured.
cup_depth_m,0.10
# lip_restitution / lip_speed_damping / lip_pop_vy_mps: DESIGN-FEEL VALUES, ARCHITECT-TUNABLE.
# NOT physically calibrated - they set how a lip-out reads on screen (Lesson K: cite what is
# real, flag what is tuned). Verified by eye in the lab, not against a published measurement.
#   lip_restitution   - how hard the radial component bounces back off the far rim (0..1)
#   lip_speed_damping - fraction of total speed retained after the rim hit
#   lip_pop_fraction  - FRACTION (dimensionless) of the horizontal speed the rim removes that
#                       is converted into an upward pop. 1.0 => a clip costing 0.6 m/s gives
#                       ~0.6 m/s up, i.e. a ~2cm hop. Was an absolute 0.30 m/s scaled by dip,
#                       which rendered as a 0.4mm hop at speed - invisible.
lip_restitution,0.35
lip_speed_damping,0.70
lip_pop_fraction,1.0
