# mission_start_areas — where a mission puts the ball.
#
# One row per (courseId, holeId, areaId). `areaId` is one of the nine ids on the
# StartAreas sheet of GOLFIN_Missions_Redesign.xlsx; `kind` and `weight` come from
# that sheet, carried per row so a bunker on one hole can be tuned apart from a
# bunker on another. The publish validator WARNS when rows sharing an areaId
# disagree on kind or weight, so the denormalisation cannot drift silently.
#
# TEE kinds carry NO COORDINATES — they resolve at runtime to the hole scene's
# `TeeMarker_<label>_L/R` midpoint, the same scan PhysicsLabController.OnHoleLoaded
# already does. x/y/z/bake_hash stay blank for them, deliberately and forever.
#
# SHORT kinds (GREEN, FRINGE, FAIRWAY, ROUGH, SAND) are BAKED — do NOT hand-edit a
# coordinate here. `Golfin ▸ Missions ▸ Bake Start Areas` derives each one from the
# TRACKED hole data (Resources/HoleData/<course>/Hole_NN/{zones,green}.json plus
# heightmap.bytes) and writes x/y/z, `pin_count`, and a `bake_hash` computed FROM
# those coordinates. `Import ▸ Bake Tree Obstacles ▸ Validate All Holes` recomputes
# that hash, so an edited coordinate fails its hole until the bake is re-run.
#
# WHY THE JSON AND NOT THE SCENE: Assets/Golf/Courses/*/Generated/* is gitignored
# and per-machine, so a scene-driven bake would produce a drift gate that only
# means something on the machine that ran it. The JSON is the same geometry, is
# what the runtime itself classifies against, and is reproducible on any clone.
#
# A BLANK SHORT ROW IS DELIBERATE: that kind does not exist on that hole. Today
# that is hole 13's SAND — its nearest bunker is 156 m from the green, so there
# is no greenside bunker to start in (every real one on this course is 14-33 m).
# The publish validator refuses a mission that names a coordinate-less start, so
# a blank row cannot become a card that dead-ends.
#
# `pin_count` on a hole's GREEN row is what gates the daily ALT_PIN modifier
# (SPEC missions_v1 §A5): fewer than 2 pin candidates and ALT_PIN's weight is 0.
# Only hole 1 has more than one pin today (3); every other hole has exactly 1.
id,courseId,holeId,areaId,label,kind,weight,x,y,z,pin_count,bake_hash
lomond_h01_green,lomond-country-club,1,GREEN,Green (10 yd putt),short,0,-221.662,9.916,-70.327,3,a0188f39
lomond_h01_fringe,lomond-country-club,1,FRINGE,Fringe / sub-green,short,1,-216.098,9.662,-68.877,3,6837a8fb
lomond_h01_fairway,lomond-country-club,1,FAIRWAY,Fairway approach,short,1,-127.878,8.077,-16.230,3,fb32ece7
lomond_h01_rough,lomond-country-club,1,ROUGH,Rough recovery,short,2,-124.033,7.804,-23.245,3,21f96544
lomond_h01_sand,lomond-country-club,1,SAND,Greenside bunker,short,2,-228.001,9.662,-53.819,3,d16798ed
lomond_h01_tee_ladies,lomond-country-club,1,TEE_LADIES,Ladies tee (red),tee,1,,,,,
lomond_h01_tee_front,lomond-country-club,1,TEE_FRONT,Front tee (white),tee,2,,,,,
lomond_h01_tee_regular,lomond-country-club,1,TEE_REGULAR,Regular tee (green),tee,3,,,,,
lomond_h01_tee_back,lomond-country-club,1,TEE_BACK,Back tee (blue),tee,5,,,,,
lomond_h02_green,lomond-country-club,2,GREEN,Green (10 yd putt),short,0,-91.615,19.553,130.147,1,23f0bf41
lomond_h02_fringe,lomond-country-club,2,FRINGE,Fringe / sub-green,short,1,-86.942,19.282,123.964,1,6ebb2214
lomond_h02_fairway,lomond-country-club,2,FAIRWAY,Fairway approach,short,1,-53.368,17.550,36.172,1,2521191a
lomond_h02_rough,lomond-country-club,2,ROUGH,Rough recovery,short,2,-64.405,18.067,31.462,1,7553312f
lomond_h02_sand,lomond-country-club,2,SAND,Greenside bunker,short,2,-110.813,17.134,124.270,1,54725e47
lomond_h02_tee_ladies,lomond-country-club,2,TEE_LADIES,Ladies tee (red),tee,1,,,,,
lomond_h02_tee_front,lomond-country-club,2,TEE_FRONT,Front tee (white),tee,2,,,,,
lomond_h02_tee_regular,lomond-country-club,2,TEE_REGULAR,Regular tee (green),tee,3,,,,,
lomond_h02_tee_back,lomond-country-club,2,TEE_BACK,Back tee (blue),tee,5,,,,,
lomond_h03_green,lomond-country-club,3,GREEN,Green (10 yd putt),short,0,-14.600,17.701,-150.829,1,2703247e
lomond_h03_fringe,lomond-country-club,3,FRINGE,Fringe / sub-green,short,1,-14.162,17.461,-145.848,1,35239d11
lomond_h03_fairway,lomond-country-club,3,FAIRWAY,Fairway approach,short,1,19.119,15.821,-54.815,1,df5f8c02
lomond_h03_rough,lomond-country-club,3,ROUGH,Rough recovery,short,2,26.719,16.851,-57.316,1,06780665
lomond_h03_sand,lomond-country-club,3,SAND,Greenside bunker,short,2,-29.434,15.460,-159.443,1,0576b413
lomond_h03_tee_ladies,lomond-country-club,3,TEE_LADIES,Ladies tee (red),tee,1,,,,,
lomond_h03_tee_front,lomond-country-club,3,TEE_FRONT,Front tee (white),tee,2,,,,,
lomond_h03_tee_regular,lomond-country-club,3,TEE_REGULAR,Regular tee (green),tee,3,,,,,
lomond_h03_tee_back,lomond-country-club,3,TEE_BACK,Back tee (blue),tee,5,,,,,
lomond_h04_green,lomond-country-club,4,GREEN,Green (10 yd putt),short,0,-31.198,16.345,24.485,1,51477c7c
lomond_h04_fringe,lomond-country-club,4,FRINGE,Fringe / sub-green,short,1,-25.981,15.827,21.044,1,de7fe205
lomond_h04_fairway,lomond-country-club,4,FAIRWAY,Fairway approach,short,1,-1.183,15.914,15.483,1,12664216
lomond_h04_rough,lomond-country-club,4,ROUGH,Rough recovery,short,2,-3.904,14.949,7.960,1,9a308c15
lomond_h04_sand,lomond-country-club,4,SAND,Greenside bunker,short,2,-33.661,12.346,9.770,1,b49cc5b9
lomond_h04_tee_ladies,lomond-country-club,4,TEE_LADIES,Ladies tee (red),tee,1,,,,,
lomond_h04_tee_front,lomond-country-club,4,TEE_FRONT,Front tee (white),tee,2,,,,,
lomond_h04_tee_regular,lomond-country-club,4,TEE_REGULAR,Regular tee (green),tee,3,,,,,
lomond_h04_tee_back,lomond-country-club,4,TEE_BACK,Back tee (blue),tee,5,,,,,
lomond_h05_green,lomond-country-club,5,GREEN,Green (10 yd putt),short,0,115.279,17.267,-131.175,1,b0db7049
lomond_h05_fringe,lomond-country-club,5,FRINGE,Fringe / sub-green,short,1,109.391,17.183,-125.044,1,1e2ad356
