shop_id,item_order,tier,name,desc,stamina,rp_cost,item_img
kageroh,1,HIGH,影牢 Signature,"House cocktail — gin, plum, smoked oak",60,26,menu_signature-kageroh
kageroh,2,MEDIUM,山崎 Whisky Flight,"3-glass tasting — Yamazaki, Hibiki, Hakushu",40,20,menu_whisky-flight
kageroh,3,LIGHT,自家製ジンジャー,"House ginger ale with fresh lime",20,12,menu_ginger-ale
kamehachi,1,HIGH,味噌焼きうどん定食,"Teppan miso-yaki udon set with rice and miso soup",80,31,menu_kamehachi_high
kamehachi,2,MEDIUM,焼肉ホルモン,"Sweet-miso grilled beef and offal with cabbage",55,25,menu_kamehachi_medium
kamehachi,3,LIGHT,豚味噌焼き,"Single teppan portion of miso pork",30,16,menu_kamehachi_light
komeda,1,HIGH,シロノワール,"Warm Danish topped with soft-serve",30,14,menu_komeda_high
komeda,2,MEDIUM,カツパン,"Pork cutlet sandwich on thick-cut bread",20,11,menu_komeda_medium
komeda,3,LIGHT,たっぷりブレンド,"Komeda's signature blended coffee",10,7,menu_komeda_light
sushiro,1,HIGH,大トロ・うに盛り,"Premium fatty tuna and sea urchin",70,30,menu_sushiro_high
sushiro,2,MEDIUM,まぐろ・サーモン,"Tuna and salmon nigiri set",45,23,menu_sushiro_medium
sushiro,3,LIGHT,サーモン一皿,"Two-piece salmon plate",25,15,menu_sushiro_light
ohsho,1,HIGH,炒飯・餃子セット,"Fried rice, gyoza and soup set",75,29,menu_ohsho_high
ohsho,2,MEDIUM,天津飯,"Crab omelet over rice in savory sauce",50,23,menu_ohsho_medium
ohsho,3,LIGHT,餃子,"Six pan-fried pork dumplings",30,16,menu_ohsho_light
royalhost,1,HIGH,アンガスサーロインステーキ,"Grilled Angus sirloin with vegetables",55,24,menu_royalhost_high
royalhost,2,MEDIUM,ハンバーグ,"Charcoal hamburg steak with demi-glace",40,20,menu_royalhost_medium
royalhost,3,LIGHT,黒糖ミルクレープ,"Brown-sugar mille-crêpe with coffee",20,12,menu_royalhost_light
cocoichi,1,HIGH,ロースカツカレー,"Pork-loin katsu curry, your spice level",60,26,menu_cocoichi_high
cocoichi,2,MEDIUM,手仕込チキンカレー,"Half-chicken cutlet curry with rice",45,23,menu_cocoichi_medium
cocoichi,3,LIGHT,ポークカレー,"Classic pork curry",25,15,menu_cocoichi_light
starbucks,1,HIGH,キャラメルフラペチーノ,"Blended coffee with caramel and cream",35,17,menu_starbucks_high
starbucks,2,MEDIUM,カフェラテ,"Espresso with steamed milk",25,14,menu_starbucks_medium
starbucks,3,LIGHT,ドリップコーヒー,"Freshly brewed coffee of the day",15,10,menu_starbucks_light
yakinikuking,1,HIGH,きんぐカルビ食べ放題,"Kalbi, tan and harami — all-you-can-grill",95,37,menu_yakinikuking_high
yakinikuking,2,MEDIUM,特上カルビ,"Top-grade marbled short rib",70,32,menu_yakinikuking_medium
yakinikuking,3,LIGHT,炙りにんにく塩タン,"Seared beef tongue with garlic salt",50,26,menu_yakinikuking_light
misterdonut,1,HIGH,ポン・デ・リング セット,"Mochi-donut ring with coffee",25,12,menu_misterdonut_high
misterdonut,2,MEDIUM,オールドファッション,"Crisp classic cake donut",15,9,menu_misterdonut_medium
misterdonut,3,LIGHT,フレンチクルーラー,"Airy choux-pastry ring",10,7,menu_misterdonut_light
