id,name,type,rarity,brand,basePower,baseAccuracy,baseLieResistance,baseLoft,maxDurability,baseDistance,ballSpeedMps,launchAngleDeg,spinRateRpm,expectedCarryYd,portraitSprite,portraitFull,controlSprite,startLevel,maxLevel,info,info_ja
club_driver_fyloe_common,Driver FYLOE,Driver,Common,FYLOE,42,21,7,7,60,223,68.7,10.9,2525,245,S_Menu_Driver_FYLOE,Driver-Fyloe,S_Controls_Driver_FYLOE,10,39,"FYLOE's entry-level driver escapes anything — rough, sand, bad decisions.",FYLOEの入門用ドライバー。ラフも砂も、判断ミスさえも脱出させる。
club_driver_fyloe_uncommon,Driver FYLOE,Driver,Uncommon,FYLOE,54,27,9,9,70,234,71.2,10.9,2579,257,S_Menu_Driver_FYLOE,Driver-Fyloe,S_Controls_Driver_FYLOE,40,79,"FYLOE's step-up driver escapes anything — rough, sand, bad decisions.",FYLOEの上位モデルのドライバー。ラフも砂も、判断ミスさえも脱出させる。
club_driver_fyloe_rare,Driver FYLOE,Driver,Rare,FYLOE,65,32,11,11,80,246,74.0,10.9,2632,270,S_Menu_Driver_FYLOE,Driver-Fyloe,S_Controls_Driver_FYLOE,80,119,"FYLOE's refined driver escapes anything — rough, sand, bad decisions.",FYLOEの洗練されたドライバー。ラフも砂も、判断ミスさえも脱出させる。
club_driver_fyloe_mythic,Driver FYLOE,Driver,Mythic,FYLOE,76,38,13,13,90,256,76.3,10.9,2686,281,S_Menu_Driver_FYLOE,Driver-Fyloe,S_Controls_Driver_FYLOE,120,159,"FYLOE's elite driver escapes anything — rough, sand, bad decisions.",FYLOEのエリート級のドライバー。ラフも砂も、判断ミスさえも脱出させる。
club_driver_fyloe_legendary,Driver FYLOE,Driver,Legendary,FYLOE,88,44,15,15,100,266,78.5,10.9,2740,292,S_Menu_Driver_FYLOE,Driver-Fyloe,S_Controls_Driver_FYLOE,160,199,"FYLOE's masterwork driver escapes anything — rough, sand, bad decisions.",FYLOEの傑作級のドライバー。ラフも砂も、判断ミスさえも脱出させる。
club_driver_fyloe_supreme,Driver FYLOE,Driver,Supreme,FYLOE,99,49,17,17,120,277,81.1,10.9,2793,304,S_Menu_Driver_FYLOE,Driver-Fyloe,S_Controls_Driver_FYLOE,200,239,"FYLOE's flagship driver escapes anything — rough, sand, bad decisions.",FYLOEの最高峰のドライバー。ラフも砂も、判断ミスさえも脱出させる。
club_wood_fyloe_common,Wood FYLOE,Wood,Common,FYLOE,37,24,8,9,60,198,65.4,9.2,3436,218,S_Menu_Wood_FYLOE,Wood-Fyloe,S_Controls_Wood_FYLOE,10,39,"FYLOE's entry-level fairway wood escapes anything — rough, sand, bad decisions.",FYLOEの入門用ウッド。ラフも砂も、判断ミスさえも脱出させる。
club_wood_fyloe_uncommon,Wood FYLOE,Wood,Uncommon,FYLOE,47,30,11,11,70,207,67.3,9.2,3509,227,S_Menu_Wood_FYLOE,Wood-Fyloe,S_Controls_Wood_FYLOE,40,79,"FYLOE's step-up fairway wood escapes anything — rough, sand, bad decisions.",FYLOEの上位モデルのウッド。ラフも砂も、判断ミスさえも脱出させる。
club_wood_fyloe_rare,Wood FYLOE,Wood,Rare,FYLOE,57,37,13,14,80,217,69.6,9.2,3582,238,S_Menu_Wood_FYLOE,Wood-Fyloe,S_Controls_Wood_FYLOE,80,119,"FYLOE's refined fairway wood escapes anything — rough, sand, bad decisions.",FYLOEの洗練されたウッド。ラフも砂も、判断ミスさえも脱出させる。
club_wood_fyloe_mythic,Wood FYLOE,Wood,Mythic,FYLOE,68,43,15,16,90,226,71.6,9.2,3655,248,S_Menu_Wood_FYLOE,Wood-Fyloe,S_Controls_Wood_FYLOE,120,159,"FYLOE's elite fairway wood escapes anything — rough, sand, bad decisions.",FYLOEのエリート級のウッド。ラフも砂も、判断ミスさえも脱出させる。
