key,English,Japanese,is_active
BTN_LOADING,NOW LOADING,読み込み中,true
BTN_START,PLAY,プレイ,true
BTN_CREATE,CREATE ACCOUNT,アカウント作成,true
BTN_LOGIN,LOGIN,ログイン,true
TIP_HEADER,PRO TIP,プロのヒント,true
TIP_NEXT,TAP FOR NEXT TIP,タップして次へ,true
TIP_SWING,"<color=#EEDC9A>PULL</color> THE CLUB BACK DOWN THE CONE FOR POWER, THEN <color=#EEDC9A>FLICK</color> UP TO HIT",コーンに沿ってクラブを<color=#EEDC9A>引いて</color>パワーを溜め、上に<color=#EEDC9A>フリック</color>して打とう,true
TIP_ACCURACY,"SLIDE LEFT OR RIGHT INSIDE THE CONE TO FINE-TUNE YOUR <color=#EEDC9A>AIM</color>. GREEN ARROWS = <color=#EEDC9A>PURE</color>, BELOW THE RED LINE = <color=#EEDC9A>DUFF</color>",コーン内で左右にスライドして<color=#EEDC9A>狙い</color>を微調整。緑の矢印＝<color=#EEDC9A>ピュア</color>、赤線より下＝<color=#EEDC9A>ダフリ</color>,true
TIP_GRADES,"EVERY SWING IS GRADED: <color=#EEDC9A>PURE</color>, GOOD, HOOK, SLICE, THIN OR <color=#EEDC9A>DUFF</color>. A DUFF STILL MOVES THE BALL, JUST NOT FAR",すべてのスイングは<color=#EEDC9A>ピュア</color>・グッド・フック・スライス・トップ・<color=#EEDC9A>ダフリ</color>で判定。ダフリでもボールは少し飛ぶ,true
TIP_VIEW,TAP THE MAP ON THE <color=#EEDC9A>HOLE CARD</color> TO PLAN FROM ABOVE. THE LIME ARC IS YOUR MAX REACH. <color=#EEDC9A>SHOT VIEW</color> BRINGS YOU BACK,<color=#EEDC9A>ホールカード</color>のマップをタップして上から作戦を立てよう。ライム色の弧が最大到達距離。<color=#EEDC9A>ショットビュー</color>で戻れる,true
TIP_CLUB,"<color=#EEDC9A>TAP</color> THE CLUB OR BALL BUTTON TO OPEN THE SELECTOR, OR <color=#EEDC9A>HOLD</color> AND SLIDE TO SWAP IN ONE MOVE",クラブ／ボールボタンを<color=#EEDC9A>タップ</color>でセレクターを開く。<color=#EEDC9A>長押し</color>してスライドすれば一動作で交換,true
