id,order,region,prefecture,city,category,name,tagline,hours_open,hours_close,hours_note,address,map_url,walk_minutes,daily_bonus_stat,daily_bonus_pct,signature_name,featured,storefront_img,hero_img
kageroh,1,KANSAI,MIE,Kameyama,COCKTAIL BAR,Bar&Lounge 影牢,"Late-night cocktails and Japanese whisky",18:00,02:00,Open daily,"5-1 Higashimaru-cho, Kameyama, Mie 519-0167",https://www.google.com/maps/search/?api=1&query=Bar+Lounge+影牢+亀山,12,Recovery,15,影牢 Cocktail,true,storefront_kageroh,hero_kageroh
kamehachi,2,KANSAI,MIE,Kameyama,JAPANESE DINER,亀八食堂,"Home-style set meals and comfort food",11:00,22:00,Open daily,"布気町1799, Kameyama, Mie",https://www.google.com/maps/search/?api=1&query=亀八食堂+亀山,15,Strength,18,味噌焼きうどん,false,storefront_kamehachi,hero_kamehachi
komeda,3,KANSAI,MIE,Kameyama,CAFE CHAIN,Komeda Coffee,"Coffee, shiro-noir and breakfast sets",07:00,23:00,Open daily,"Kameyama, Mie",https://www.google.com/maps/search/?api=1&query=コメダ珈琲店+亀山,8,ClubControl,8,シロノワール,false,storefront_komeda,hero_komeda
sushiro,4,KANSAI,MIE,Kameyama,CONVEYOR SUSHI,Sushiro,"Sushi by the plate, off the conveyor belt",11:00,23:00,Open daily,"Kameyama, Mie",https://www.google.com/maps/search/?api=1&query=スシロー+亀山,10,Recovery,12,大トロ・うに盛り,false,storefront_sushiro,hero_sushiro
ohsho,5,KANSAI,MIE,Kameyama,CHINESE,餃子の王将,"Gyoza, fried rice and Chinese set meals",11:00,23:30,Open daily,"Kameyama, Mie",https://www.google.com/maps/search/?api=1&query=餃子の王将+亀山,11,Stamina,14,炒飯・餃子セット,false,storefront_ohsho,hero_ohsho
royalhost,6,KANSAI,MIE,Kameyama,FAMILY RESTAURANT,Royal Host,"Family Western and Japanese fusion menu",07:00,24:00,Open daily,"Kameyama, Mie",https://www.google.com/maps/search/?api=1&query=ロイヤルホスト+亀山,14,ClubControl,10,アンガスサーロインステーキ,false,storefront_royalhost,hero_royalhost
cocoichi,7,KANSAI,MIE,Kameyama,CURRY,CoCo Ichibanya,"Japanese curry, pick your spice and toppings",11:00,23:00,Open daily,"Kameyama, Mie",https://www.google.com/maps/search/?api=1&query=カレーハウスCoCo壱番屋+亀山,9,Strength,16,ロースカツカレー,false,storefront_cocoichi,hero_cocoichi
starbucks,8,KANSAI,MIE,Kameyama,CAFE,Starbucks,"Espresso drinks and light bites",07:00,22:00,Open daily,"Kameyama, Mie",https://www.google.com/maps/search/?api=1&query=スターバックス+亀山,7,Recovery,6,キャラメルフラペチーノ,false,storefront_starbucks,hero_starbucks
yakinikuking,9,KANSAI,MIE,Kameyama,YAKINIKU BBQ,焼肉きんぐ,"All-you-can-eat grill-it-yourself BBQ",17:00,24:00,Open daily,"Kameyama, Mie",https://www.google.com/maps/search/?api=1&query=焼肉きんぐ+亀山,18,Strength,20,きんぐカルビ食べ放題,false,storefront_yakinikuking,hero_yakinikuking
misterdonut,10,KANSAI,MIE,Kameyama,DONUTS,Mister Donut,"Pon-de-rings, donuts and sweet coffee",07:00,22:00,Open daily,"Kameyama, Mie",https://www.google.com/maps/search/?api=1&query=ミスタードーナツ+亀山,6,ClubControl,5,ポン・デ・リング,false,storefront_misterdonut,hero_misterdonut
